ORF,Coordonne,Nbr AA,Nbr nucl,Nbr blastp evalue=1e-10,best evalue,bitscore,length,pident,Nbre hit blastp SW
1,166 - 357,64,192,0,,,,,
2,421 - 627,69,207,0,,,,,
3,2 - 1102,367,1101,674,0.0,736.0,367.0,95.913,0.0
4,922 - 335,196,588,0,,,,,
5,331 - 113,73,219,0,,,,,
